BEGIN_DAY,STATE,MONTH_NAME,EVENT_TYPE,DAMAGE_PROPERTY,MONT,BEGIN_LON
9,TEXAS,May,Flash Flood,0.00K,29.7898,-98.6406
15,MINNESOTA,July,Thunderstorm Wind,0.00K,45.77,-92.87
20,TEXAS,October,Thunderstorm Wind,0.00K,32.71,-95.88
20,TEXAS,October,Thunderstorm Wind,0.00K,32.87,-97.61
20,TEXAS,October,Thunderstorm Wind,0.00K,32.8,-98.1
20,TEXAS,October,Tornado,10.00M,32.9312,-96.4864
4,VERMONT,September,Hail,0.00K,43.4,-72.72
26,NEW YORK,September,Thunderstorm Wind,5.00K,44.6988,-75.222
13,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,28.37,-80.6
13,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,28.63,-80.66
13,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,29.05,-80.9
30,FLORIDA,September,Rip Current,0.00K,,
29,WEST VIRGINIA,January,Winter Weather,,,
9,ARKANSAS,March,Thunderstorm Wind,0.00K,34.4,-93.62
9,ARKANSAS,March,Thunderstorm Wind,0.00K,35.3,-93.64
30,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,28.63,-80.81
30,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,27.35,-80.24
2,GULF OF MEXICO,September,Marine Thunderstorm Wind,0.00K,27.66,-82.59
6,GULF OF MEXICO,September,Waterspout,0.00K,27.63,-82.76
18,GULF OF MEXICO,September,Marine Thunderstorm Wind,0.00K,27.95,-82.47
2,MONTANA,September,Hail,0.00K,48.39,-104.26
2,MONTANA,September,Hail,0.00K,48.39,-104.29
22,MISSOURI,September,Heavy Rain,0.00K,37.83,-94.35
22,MISSOURI,September,Flash Flood,0.00K,37.84,-94.36
9,GEORGIA,September,Thunderstorm Wind,0.00K,31.58,-84.18
18,FLORIDA,September,Thunderstorm Wind,0.00K,30.16,-83.28
4,CONNECTICUT,September,Thunderstorm Wind,0.50K,41.976,-72.5815
24,ALABAMA,September,Drought,,,
24,ALABAMA,September,Drought,,,
1,MONTANA,September,Hail,0.00K,45.98,-105.39
1,MONTANA,September,Thunderstorm Wind,0.00K,45.93,-104.44
2,MONTANA,September,Hail,0.00K,48.72,-104.74
17,MONTANA,September,Thunderstorm Wind,0.00K,46.93,-104.18
17,MONTANA,September,Thunderstorm Wind,0.00K,47.02,-104.33
17,MONTANA,September,Thunderstorm Wind,0.00K,46.98,-104.0739
17,MONTANA,September,Thunderstorm Wind,0.00K,47.02,-104.33
22,MISSOURI,September,Heavy Rain,0.00K,37.6,-94.28
24,FLORIDA,September,Drought,,,
24,FLORIDA,September,Drought,,,
18,FLORIDA,September,Thunderstorm Wind,0.00K,30.4902,-84.6081
18,FLORIDA,September,Thunderstorm Wind,3.00K,30.1263,-83.551
18,FLORIDA,September,Thunderstorm Wind,3.00K,30.1749,-83.5834
4,CONNECTICUT,September,Hail,0.00K,41.97,-72.57
30,ATLANTIC SOUTH,September,Marine Thunderstorm Wind,0.00K,29.05,-80.9
