text,lat,lon
GILCHRIST,45.42,-95.34
BROOTEN,45.5,-95.12
NEW LONDON,45.3,-94.95
BELGRADE,45.45,-95
MONTGOMERY,44.44,-93.58
MORRISTOWN,44.25,-93.44
(AXN)CHNDLR FLD ALXN,45.87,-95.4
RICE,45.77,-94.23
LUXEMBURG,45.42,-94.21
(STC)ST CLOUD REGIONAL AIRPORT,45.55,-94.05
HOWARD LAKE,45.06,-94.07
OTSEGO,45.26,-93.58
ST AUGUSTA,45.42,-94.17
LITTLE FALLS,45.9737,-94.3901
LITTLE FALLS,45.9807,-94.3463
PIERZ,45.97,-94.1
PRINCETON,45.5705,-93.5836
PRINCETON,45.58,-93.56
ANDOVER,45.2288,-93.3224
ANDOVER,45.2397,-93.2679
COON RAPIDS,45.1689,-93.3185
BLAINE,45.1717,-93.2399
CIRCLE PINES,45.1751,-93.1594
LINO LAKES,45.1975,-93.1032
WHITE BEAR LAKE,45.0859,-93.0166
WHITE BEAR LAKE,45.0939,-92.9972
HOWARD LAKE,45.0516,-94.1122
HOWARD LAKE,45.0508,-94.091
WATERTOWN,44.9632,-93.7922
WATERTOWN,44.9568,-93.7665
MINNETRISTA,44.9568,-93.7665
DAISETTA,30.11,-94.64
LAKEVIEW,34.67,-100.7
MEMPHIS,34.73,-100.54
LOCO,34.72,-100.41
ARLIE,34.6741,-100.083
PAIGE,36.25,-119.47
LEMOORE,36.3,-119.78
JUSTICEBURG,33.06,-101.05
WOLFFORTH,33.5129,-101.9581
DOUD,33.55,-101.94
JUSTICEBURG,33.05,-101.17
CLAIREMONT,33.17,-100.84
TULIA,34.54,-101.77
JAYTON,33.2418,-100.5791
JAYTON,33.25,-100.57
AUGUSTUS,33.2265,-101.2477
AUGUSTUS,33.0975,-101.3234
JUSTICEBURG,33.0386,-101.2089
AUGUSTUS,33.2217,-101.1497
PORT O'CONNOR,28.4458,-96.3955
SARGENT,28.5911,-95.9826
FREEPORT,28.9285,-95.2913
CLEAR LAKE,29.5649,-95.0683
GALVESTON,29.2489,-94.852
NORTH JETTY,29.37,-94.73
PLENTYWOOD,48.72,-104.74
FROID,48.39,-104.26
FROID,48.39,-104.29
LAMBERT,47.82,-104.51
HAYNES,39.4354,-82.6784
HAYNES,39.4343,-82.6747
HAYNES,39.4314,-82.6759
HAYNES,39.433,-82.6804
WEST LIBERTY,40.25,-83.76
SLIGO,39.44,-83.94
PLAIN CITY,40.11,-83.27
NEW CALIFORNIA,40.11,-83.18
DUBLIN,40.116,-83.1197
AFRICA,40.1504,-82.9979
JOHNSTOWN,40.15,-82.69
WELLMAN,39.436,-84.0142
MELVIN,39.48,-83.73
MT AIR,40.1351,-83.0794
JERSEY,40.0461,-82.7677
EL PRADO,36.4714,-105.5936
BUCKEYE,40.89,-104.95
LAKE GEORGE,38.9416,-105.4318
LAKE GEORGE,38.975,-105.5375
WAUSAU,45,-89.61
SHAWANO,44.8,-88.6
(CWA)CEN WI ARPT MOS,44.78,-89.67
PROSPECT,42.76,-122.49
PROSPECT,42.7398,-122.4939
LOWRY,45.73,-95.52
HOLMES CITY,45.78,-95.6
TERRACE,45.53,-95.39
MAHAN,32.9017,-93.0423
MAHAN,32.9076,-93.0343
CANYON,34.07,-112.15
CAMP VERDE ARPT,34.4906,-111.9165
STARKSBORO,44.2435,-73.0719
STARKSBORO,44.2494,-73.0585
STARKSBORO,44.2415,-73.0497
STARKSBORO,44.2552,-73.0323
STARKSBORO,44.2528,-73.0255
JONESVILLE,44.3795,-72.9393
HUNTINGTON,44.3153,-72.985
HUNTINGTON,44.3306,-73.0375
RICHMOND,44.3944,-73.0021
MORSES MILL,44.5466,-72.8058
JEFFERSONVILLE,44.6451,-72.8466
BELVIDERE JCT,44.7492,-72.7652
BELVIDERE CORNERS,44.7814,-72.627
